class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,98782.0,39.0,34.0,3.0,0.0,1548.0,-0.53,0.08,0.74,-0.03,-0.55,-0.19,23.06,61.31,50.56,8.06,-3.55,3.73,2,884
0,98996.0,41.0,0.0,1.0,3.0,1915.0,-0.44,0.06,0.29,-0.11,-0.1,-0.23,27.37,64.94,50.13,8.92,-3.16,2.88,2,884
0,99218.0,20.0,1813.0,0.0,4.0,1895.0,-0.18,0.01,0.28,-0.09,-0.06,-0.24,30.5,67.56,49.56,8.89,-2.81,2.7,2,884
0,99435.0,39.0,1260.0,0.0,3.0,1928.0,0.34,-0.03,0.1,-0.16,-0.06,0.04,34.06,69.69,48.25,9.54,-2.57,2.36,2,884
0,99652.0,19.0,19.0,1.0,0.0,1485.0,-0.88,0.0,0.0,0.1,0.08,0.52,30.62,66.12,54.38,8.08,-3.22,2.3,2,884
0,99872.0,41.0,11.0,1.0,1.0,1603.0,-0.04,0.08,0.13,0.09,0.04,0.69,22.12,59.31,59.44,8.38,-4.22,2.68,2,884
0,100086.0,31.0,20.0,0.0,2.0,1715.0,-0.56,0.14,-0.1,0.02,0.04,0.68,14.31,52.31,62.94,7.19,-5.19,2.62,2,884
0,100303.0,29.0,18.0,7.0,0.0,2153.0,0.13,0.37,0.21,-0.1,-0.01,0.95,5.37,43.69,66.87,6.91,-6.14,2.99,2,884
0,100523.0,25.0,19.0,0.0,7.0,2318.0,-0.26,0.2,-0.11,-0.12,-0.01,0.5,356.31,34.75,70.5,5.32,-7.39,2.57,2,884
0,100735.0,27.0,11.0,6.0,0.0,2472.0,-0.42,0.17,0.16,0.01,0.0,0.22,351.81,30.12,71.5,4.5,-7.86,2.84,2,884
