class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,455197.0,18.0,9.0,0.0,1.0,1742.0,-0.8,-0.24,-0.2,-0.03,0.32,-0.25,3.06,69.06,32.25,8.35,-2.09,2.78,10,3408
0,455416.0,27.0,9.0,0.0,10.0,1703.0,0.18,-0.1,0.25,-0.03,0.06,0.88,358.56,65.19,39.88,9.06,-2.81,3.41,10,3408
0,455633.0,27.0,10.0,0.0,0.0,1876.0,0.45,0.05,0.0,-0.14,-0.03,1.02,347.5,56.44,56.19,8.63,-4.44,3.01,10,3408
0,455853.0,29.0,11.0,0.0,5.0,1958.0,0.44,0.19,0.2,-0.07,-0.03,0.98,336.0,46.44,66.06,7.15,-6.12,2.89,10,3408
0,456072.0,45.0,17.0,4.0,1.0,1791.0,0.13,0.15,0.33,0.05,0.03,1.07,324.19,35.5,70.31,5.83,-7.35,3.01,10,3408
0,456292.0,44.0,17.0,1.0,5.0,1885.0,-1.32,0.19,0.24,0.06,0.01,0.73,312.56,24.69,71.87,3.3,-8.32,2.79,10,3408
0,456512.0,45.0,15.0,1422.0,6.0,1919.0,-0.5,0.19,0.13,0.02,0.03,-0.08,308.69,20.69,71.62,2.96,-8.51,3.01,10,3408
