class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,271356.0,679.0,7.0,2.0,4.0,2447.0,-0.38,0.06,0.13,0.0,-0.05,-0.25,300.75,14.06,73.56,2.02,-9.05,2.82,12,4340
0,271572.0,743.0,11.0,3.0,3.0,2390.0,0.0,0.01,0.0,-0.11,-0.05,-0.45,304.56,18.12,73.81,3.06,-8.93,2.57,12,4340
0,271787.0,904.0,20.0,5.0,0.0,2277.0,0.02,0.04,0.05,-0.12,-0.05,-0.52,310.0,23.62,74.62,4.0,-8.59,2.42,12,4340
0,272007.0,647.0,7.0,1.0,2.0,2285.0,-0.43,0.0,0.02,-0.1,-0.05,-0.59,316.75,30.19,75.19,4.54,-8.17,2.17,12,4340
0,272223.0,659.0,132.0,2.0,0.0,2249.0,-0.06,0.08,-0.06,-0.14,-0.03,-0.74,325.44,38.5,75.81,6.04,-7.34,1.8,12,4340
0,272437.0,787.0,303.0,4.0,1.0,2085.0,-0.34,0.18,-0.08,-0.15,-0.02,-0.83,335.69,47.94,75.87,6.98,-6.12,1.5,12,4340
0,272655.0,687.0,359.0,3.0,3.0,1954.0,-0.16,0.29,0.09,-0.18,-0.01,-1.15,349.5,60.25,74.81,8.4,-4.29,1.35,12,4340
0,272874.0,31.0,19.0,1.0,1.0,1279.0,0.59,0.76,-0.77,0.05,0.35,-0.36,1.94,69.62,70.62,9.79,-2.45,0.35,12,4340
0,273088.0,25.0,7.0,0.0,10.0,1977.0,0.09,-0.12,-0.21,0.15,0.32,-0.72,7.56,72.94,49.38,9.48,-2.23,1.68,12,4340
0,273307.0,29.0,7.0,7.0,0.0,1928.0,0.47,-0.19,-0.2,-0.09,-0.22,0.24,12.0,75.19,35.81,9.95,-1.68,1.79,12,4340
0,273525.0,23.0,7.0,0.0,11.0,1981.0,0.38,-0.27,0.12,0.08,-0.15,0.48,6.87,73.56,51.19,9.79,-2.43,1.86,12,4340
0,273739.0,30.0,11.0,5.0,0.0,2037.0,-0.18,0.01,0.0,0.07,0.0,0.95,356.75,66.12,64.19,8.75,-3.63,1.73,12,4340
0,273956.0,27.0,10.0,0.0,2.0,2212.0,0.02,-0.06,-0.17,0.0,-0.02,1.0,344.69,55.25,71.87,7.78,-5.43,1.7,12,4340
0,274174.0,28.0,10.0,3.0,1.0,2313.0,-0.24,0.12,-0.18,0.09,0.0,0.91,332.31,43.63,73.75,6.52,-6.68,1.79,12,4340
0,274391.0,27.0,9.0,0.0,2.0,2424.0,-0.05,0.02,-0.22,0.05,-0.01,0.81,322.12,34.06,73.69,5.37,-7.81,2.05,12,4340
