class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,198431.0,29.0,1.0,0.0,4.0,2007.0,0.81,0.2,0.19,-0.02,0.03,0.01,340.0,21.87,83.12,4.46,-8.82,1.27,12,4214
0,198652.0,39.0,19.0,3.0,5.0,2095.0,-3.91,0.62,1.69,0.17,0.02,0.51,338.81,19.31,82.69,-0.66,-8.55,2.85,12,4214
0,198871.0,41.0,23.0,3.0,0.0,2055.0,-0.09,0.52,0.49,-0.02,-0.06,-0.62,340.56,21.0,82.87,3.41,-8.56,1.62,12,4214
0,199092.0,31.0,18.0,1.0,3.0,1950.0,-0.34,-0.05,0.08,-0.07,-0.03,-0.49,345.0,26.62,83.81,4.04,-8.77,1.02,12,4214
0,199309.0,38.0,18.0,1.0,2.0,1821.0,-0.49,-0.01,0.2,-0.15,-0.13,-0.81,352.5,34.06,84.75,5.06,-8.06,0.92,12,4214
0,199532.0,33.0,20.0,1.0,0.0,1691.0,0.42,0.18,0.1,-0.09,-0.01,-0.86,3.81,44.88,85.56,7.35,-6.73,0.63,12,4214
0,199751.0,22.0,13.0,1.0,1.0,1561.0,-1.13,0.51,-0.18,-0.07,-0.02,-0.71,13.25,53.69,86.06,6.8,-5.22,0.2,12,4214
0,199970.0,36.0,17.0,0.0,0.0,1967.0,0.18,-0.15,-0.16,0.0,-0.08,-0.52,21.44,61.63,87.0,8.84,-4.75,0.06,12,4214
0,200190.0,329.0,619.0,1.0,3.0,2039.0,0.09,-0.17,-0.06,-0.07,-0.06,-0.35,26.19,66.44,87.94,9.09,-4.06,0.06,12,4214
0,200408.0,376.0,637.0,0.0,4.0,2019.0,-0.38,-0.13,-0.23,0.05,0.03,0.13,27.12,67.31,88.44,8.66,-3.91,-0.13,12,4214
0,200624.0,37.0,486.0,0.0,0.0,1995.0,1.36,0.14,0.14,0.05,0.01,-0.11,27.75,68.62,87.44,10.49,-3.42,0.29,12,4214
0,200845.0,29.0,533.0,0.0,1.0,1400.0,0.45,-0.24,0.01,0.05,0.01,0.55,23.31,64.5,87.81,9.31,-4.45,0.17,12,4214
0,201061.0,11.0,0.0,1.0,1.0,2325.0,1.02,-0.14,0.13,0.06,0.01,0.76,14.94,56.69,87.25,9.19,-5.57,0.39,12,4214
0,201279.0,23.0,3.0,0.0,3.0,2477.0,0.6,-0.71,0.06,0.12,0.03,0.85,4.87,47.31,86.37,7.77,-7.39,0.49,12,4214
0,201504.0,37.0,27.0,3.0,0.0,1804.0,-0.68,-0.15,0.12,0.11,0.05,0.66,355.75,38.69,84.81,5.45,-7.77,0.81,12,4214
0,201725.0,17.0,0.0,0.0,3.0,1934.0,-1.36,-0.14,0.1,0.11,0.06,0.66,348.0,31.12,83.62,3.7,-8.48,1.03,12,4214
0,201944.0,36.0,14.0,0.0,0.0,2599.0,0.42,0.05,0.47,0.1,0.06,0.47,341.31,23.69,82.19,4.37,-8.83,1.68,12,4214
0,202161.0,29.0,3.0,0.0,2.0,2101.0,0.02,0.12,0.36,-0.19,0.12,-0.0,338.31,20.25,81.81,3.3,-8.87,3.0,12,4214
0,202378.0,42.0,43.0,1.0,0.0,2700.0,-0.14,0.05,0.13,-0.14,-0.01,-0.19,340.81,22.31,84.5,3.57,-8.96,1.0,12,4214
0,202599.0,40.0,29.0,4.0,1.0,2713.0,-0.12,-0.02,0.39,-0.05,-0.08,-0.61,344.56,26.31,85.19,4.22,-8.77,1.12,12,4214
0,202817.0,23.0,19.0,0.0,3.0,1809.0,0.47,0.14,0.02,-0.04,-0.07,-0.77,353.62,35.25,86.31,6.14,-7.84,0.54,12,4214
0,203035.0,25.0,174.0,1.0,1.0,2515.0,0.5,-0.05,0.04,-0.01,-0.06,-0.75,1.5,43.56,86.62,7.31,-7.09,0.45,12,4214
