class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,352043.0,26.0,9.0,0.0,1.0,2134.0,0.0,-0.1,0.0,-0.02,-0.01,0.0,44.69,75.44,62.69,9.5,-2.28,1.12,3,1014
0,352267.0,25.0,9.0,1.0,1.0,2111.0,0.01,-0.09,0.0,-0.0,-0.0,0.0,44.75,75.44,62.5,9.53,-2.29,1.16,3,1014
0,352485.0,29.0,17.0,0.0,1.0,1305.0,1.35,-0.03,0.08,-0.35,-0.68,0.01,45.44,76.31,69.19,10.88,-2.2,0.9,3,1014
0,352701.0,11.0,9.0,1.0,6.0,1961.0,-0.78,0.0,-0.54,0.05,0.07,-0.58,46.94,77.94,77.31,8.82,-1.93,-0.09,3,1014
0,352921.0,24.0,17.0,1.0,2.0,1890.0,-0.32,0.12,0.52,0.03,0.15,0.35,48.63,79.25,56.94,9.3,-1.43,1.52,3,1014
0,353140.0,25.0,12.0,1.0,1.0,1932.0,0.33,0.24,-0.06,-0.29,-0.15,1.42,38.94,69.0,76.81,8.67,-3.24,0.73,3,1014
0,353357.0,26.0,17.0,1.0,1.0,1605.0,0.02,0.23,-0.23,-0.13,-0.06,1.17,24.62,53.5,86.62,7.41,-5.67,0.12,3,1014
0,353581.0,25.0,9.0,0.0,0.0,2257.0,0.3,0.14,-0.05,0.07,0.02,0.62,13.94,42.94,87.62,6.3,-7.09,0.17,3,1014
0,353798.0,53.0,14.0,0.0,0.0,1806.0,-0.47,0.38,0.01,0.04,0.08,0.16,9.19,37.94,86.5,5.35,-9.21,0.86,3,1014
0,354018.0,52.0,15.0,0.0,0.0,1809.0,-0.07,-0.07,0.06,0.09,0.04,-0.23,10.69,39.5,85.0,6.22,-7.55,0.7,3,1014
0,354235.0,43.0,17.0,1.0,1.0,1718.0,-0.52,0.15,0.08,-0.06,-0.16,-0.77,14.69,44.13,85.19,6.3,-6.86,0.68,3,1014
0,354451.0,31.0,17.0,0.0,1.0,1564.0,-0.59,0.31,0.26,0.2,0.1,-1.19,26.5,56.25,82.19,7.62,-4.97,1.02,3,1014
0,354668.0,31.0,17.0,0.0,1.0,1435.0,1.71,0.14,0.14,0.18,0.08,-0.74,36.38,67.56,71.75,9.58,-3.41,1.22,3,1014
0,354889.0,31.0,17.0,3.0,0.0,1310.0,0.06,0.0,0.13,0.0,-0.06,-0.43,43.81,75.25,65.37,9.55,-2.27,1.16,3,1014
0,355104.0,44.0,16.0,1.0,0.0,1209.0,-0.49,-0.14,-0.32,-0.03,-0.05,-0.29,48.88,80.62,66.62,9.18,-1.57,0.3,3,1014
0,355321.0,0.0,7.0,1.0,11.0,1868.0,-0.47,-0.07,0.04,0.05,0.22,0.32,47.63,78.94,62.38,9.97,-1.62,1.19,3,1014
0,355539.0,26.0,8.0,0.0,1.0,1879.0,-0.38,0.08,-0.03,-0.19,-0.06,1.08,39.31,70.06,76.12,8.83,-3.16,0.76,3,1014
