class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,1449147.0,26.0,8.0,0.0,0.0,2455.0,0.54,0.07,0.09,0.02,0.02,-0.03,249.0,17.69,86.69,3.52,-9.25,0.62,14,5061
0,1449363.0,27.0,7.0,0.0,1.0,2535.0,-0.12,0.01,-0.06,0.03,0.01,-0.04,248.19,16.75,86.31,2.7,-9.35,0.53,14,5061
0,1449578.0,29.0,19.0,0.0,0.0,1967.0,-0.11,0.1,0.38,0.05,0.01,-0.52,250.56,19.5,85.5,3.16,-9.1,1.1,14,5061
0,1449799.0,30.0,13.0,1.0,0.0,1846.0,0.84,0.19,0.05,-0.09,-0.01,-1.0,260.31,28.87,85.69,5.58,-8.36,0.69,14,5061
0,1450019.0,31.0,17.0,0.0,0.0,1685.0,-1.09,0.35,0.03,-0.1,0.04,-1.29,274.87,42.38,85.56,5.52,-6.86,0.59,14,5061
0,1450235.0,30.0,13.0,0.0,5.0,1541.0,0.87,0.24,-0.21,-0.08,0.02,-0.95,289.94,56.31,85.69,9.08,-5.09,0.18,14,5061
0,1450456.0,31.0,17.0,0.0,0.0,1390.0,0.15,0.21,-0.22,-0.11,0.04,-1.03,303.81,68.62,83.81,9.31,-3.24,0.15,14,5061
0,1450673.0,29.0,13.0,1.0,0.0,1261.0,1.42,-0.04,0.02,-0.04,-0.04,-0.63,314.62,78.56,80.62,9.75,-1.88,0.03,14,5061
0,1450891.0,29.0,13.0,1.0,6.0,1183.0,-0.4,-0.07,-0.14,-0.01,-0.01,0.09,319.5,82.87,85.0,9.32,-1.28,-0.04,14,5061
0,1451111.0,35.0,13.0,0.0,3.0,1275.0,1.14,0.01,-0.47,-0.01,-0.01,0.82,315.56,78.81,87.62,10.76,-1.88,-0.39,14,5061
0,1451325.0,25.0,13.0,0.0,0.0,1800.0,-0.22,-0.02,0.04,0.09,0.0,1.13,303.19,66.94,88.69,9.7,-3.88,0.0,14,5061
0,1451543.0,19.0,13.0,0.0,0.0,2003.0,-0.62,-0.02,-0.26,-0.0,0.03,0.98,288.69,53.19,88.75,7.22,-5.88,-0.14,14,5061
0,1451760.0,25.0,5.0,0.0,0.0,2125.0,-0.39,0.09,-0.07,0.11,-0.01,0.99,277.69,42.56,88.69,6.16,-7.19,0.09,14,5061
0,1451979.0,31.0,11.0,0.0,5.0,2271.0,-0.53,0.22,-0.13,0.13,0.07,1.01,264.37,30.25,87.44,4.32,-8.27,0.25,14,5061
0,1452205.0,37.0,17.0,0.0,1.0,2007.0,0.17,0.02,0.05,0.03,-0.01,0.63,253.44,19.69,86.31,3.49,-9.18,0.64,14,5061
0,1452420.0,25.0,11.0,0.0,0.0,2554.0,-0.65,0.12,-0.11,-0.03,0.04,0.61,246.0,12.0,86.0,1.33,-9.45,0.54,14,5061
0,1452637.0,45.0,9.0,0.0,0.0,2076.0,-1.56,0.24,0.07,-0.02,0.01,-0.67,245.19,11.0,85.81,1.65,-9.42,0.78,14,5061
0,1452855.0,33.0,10.0,0.0,1.0,1916.0,0.6,0.22,-0.02,-0.09,-0.12,-1.17,257.06,23.69,86.56,4.54,-8.73,0.51,14,5061
