class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,465532.0,41.0,16.0,1.0,1.0,1247.0,0.0,0.01,0.16,-0.03,-0.06,0.01,43.06,78.56,40.44,9.62,-1.24,1.63,4,1524
0,465753.0,26.0,10.0,0.0,1.0,1733.0,0.46,0.05,-0.12,0.06,0.05,0.52,38.63,75.12,49.81,9.94,-1.86,1.49,4,1524
0,465970.0,31.0,14.0,1.0,0.0,1479.0,-0.1,0.04,0.07,-0.02,0.05,0.77,30.31,68.0,61.25,8.96,-3.23,1.84,4,1524
0,466193.0,30.0,11.0,0.0,1.0,1915.0,1.45,0.07,0.02,-0.03,0.04,0.86,21.25,59.19,69.0,9.87,-4.61,1.82,4,1524
0,466413.0,39.0,17.0,0.0,0.0,1965.0,-0.21,0.17,-0.04,-0.03,0.07,1.05,10.31,48.25,73.75,7.1,-6.09,1.77,4,1524
0,466631.0,31.0,17.0,0.0,0.0,1907.0,-1.13,0.13,0.17,-0.01,0.02,0.95,359.19,37.19,76.37,4.72,-7.5,2.01,4,1524
0,466850.0,31.0,17.0,0.0,1.0,2021.0,0.43,0.17,0.27,-0.06,0.02,0.67,350.0,28.0,77.87,4.99,-8.31,2.08,4,1524
0,467067.0,25.0,10.0,0.0,0.0,2488.0,-1.04,0.2,-0.01,0.01,0.03,0.3,344.0,21.5,78.87,2.55,-8.74,1.74,4,1524
0,467284.0,35.0,13.0,1.0,0.0,2104.0,-0.69,0.15,0.11,0.05,-0.02,-0.23,343.75,21.25,78.06,2.86,-8.78,2.0,4,1524
0,467502.0,31.0,15.0,1.0,0.0,1983.0,-1.08,0.22,-0.05,-0.01,-0.0,-0.56,349.56,27.5,77.5,3.49,-8.23,1.82,4,1524
0,467716.0,31.0,17.0,1.0,1.0,1850.0,-0.59,0.18,0.13,0.01,-0.02,-0.81,358.12,36.56,76.69,5.24,-7.47,1.94,4,1524
0,467931.0,31.0,16.0,0.0,0.0,1702.0,1.22,0.31,-0.06,0.11,0.01,-1.32,10.06,48.31,72.87,8.63,-5.82,1.85,4,1524
0,468152.0,41.0,17.0,88.0,1.0,1556.0,-0.25,0.35,0.14,0.18,0.07,-1.13,23.94,61.88,60.94,8.43,-3.58,2.39,4,1524
0,468368.0,34.0,17.0,1136.0,7.0,1430.0,1.05,-0.13,0.32,0.08,0.03,-0.67,35.13,70.81,39.13,10.31,-2.16,2.82,4,1524
0,468584.0,31.0,17.0,0.0,0.0,1317.0,0.21,0.04,-0.27,-0.09,-0.13,-0.08,39.5,75.12,35.69,9.69,-1.42,1.76,4,1524
0,468801.0,25.0,1786.0,1.0,2.0,1677.0,-1.04,-0.02,-0.13,-0.15,-0.19,0.2,41.44,77.56,41.31,8.52,-1.44,1.43,4,1524
0,469018.0,34.0,17.0,1.0,0.0,1316.0,0.65,-0.63,0.33,-0.01,0.01,0.32,39.56,76.12,52.75,10.17,-2.5,1.75,4,1524
0,469236.0,26.0,9.0,0.0,1.0,1717.0,-0.76,-0.22,-0.02,0.17,0.16,0.66,33.88,71.12,60.38,8.5,-2.98,1.54,4,1524
0,469455.0,26.0,7.0,0.0,0.0,1941.0,0.02,0.03,0.3,0.01,0.03,0.66,25.81,63.75,66.44,8.82,-3.93,2.03,4,1524
